conversation_id,creator_id,conversation_date,ai_version,issue_type,issue_complexity,region,creator_segment,entry_channel,eligible_for_ai,ai_used,experiment_group,ai_response_time_sec,ai_contained,ai_response_quality,ai_error_flag,resolution_status,resolution_type,human_escalated,human_handling_time_min,csat_score,repeat_contact_7d,conversation_duration_min
CNV-2026-0000011,CRT-01360,2026-01-01,None,Copyright,High,India,Emerging,Creator_Studio,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,22.25,5,False,23.3
CNV-2026-0000012,CRT-01472,2026-01-01,V1,Monetization,High,UK,Emerging,Creator_Studio,True,True,Pre_Experiment,3.37,True,High,False,Resolved,AI_Resolved,False,0.0,,False,2.78
CNV-2026-0000013,CRT-00016,2026-01-01,None,Other,Low,US,Emerging,Creator_Studio,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,5.77,4,True,7.16
CNV-2026-0000014,CRT-00218,2026-01-01,None,Monetization,High,Southeast Asia,Emerging,Help_Center,False,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,28.7,,False,29.8
CNV-2026-0000015,CRT-00071,2026-01-01,V1,Copyright,High,India,Emerging,Help_Center,True,True,Pre_Experiment,1.74,True,Medium,False,Resolved,AI_Resolved,False,0.0,5,False,1.97
CNV-2026-0000016,CRT-00089,2026-01-01,None,Memberships,Medium,US,Emerging,Help_Center,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,10.62,4,False,13.39
CNV-2026-0000017,CRT-00234,2026-01-01,None,Copyright,High,US,Growth,Creator_Studio,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,31.28,,True,33.96
CNV-2026-0000018,CRT-00533,2026-01-01,V1,Copyright,High,India,Emerging,Creator_Studio,True,True,Pre_Experiment,5.97,False,Low,True,Resolved,Human_Resolved,True,35.65,2,True,38.27
CNV-2026-0000019,CRT-00439,2026-01-01,V1,Channel Access,Medium,US,Growth,Help_Center,True,True,Pre_Experiment,4.2,True,High,False,Resolved,AI_Resolved,False,0.0,5,True,1.34
CNV-2026-0000020,CRT-00590,2026-01-01,None,Revenue & Payments,Low,India,Emerging,Help_Center,False,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,4.74,4,False,7.15
CNV-2026-0000021,CRT-01314,2026-01-01,None,Analytics,Low,US,Emerging,Help_Center,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,12.69,,False,15.44
CNV-2026-0000022,CRT-01412,2026-01-02,V1,Policy,High,US,Large,Help_Center,True,True,Pre_Experiment,5.23,False,Medium,False,Resolved,Human_Resolved,True,14.52,4,True,17.2
CNV-2026-0000023,CRT-01024,2026-01-02,V1,Copyright,Medium,UK,Growth,Email_Form,True,True,Pre_Experiment,2.43,False,Medium,False,Resolved,Human_Resolved,True,8.01,,False,10.08
CNV-2026-0000024,CRT-00757,2026-01-02,None,Policy,Low,Other,Emerging,Mobile_App,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,5.8,,False,7.71
CNV-2026-0000025,CRT-01153,2026-01-02,V1,Analytics,Low,Other,Emerging,Help_Center,True,True,Pre_Experiment,4.64,True,High,False,Resolved,AI_Resolved,False,0.0,5,False,2.69
CNV-2026-0000026,CRT-00085,2026-01-02,V1,Revenue & Payments,Medium,Southeast Asia,Emerging,Creator_Studio,True,True,Pre_Experiment,2.87,False,High,False,Resolved,Human_Resolved,True,8.24,5,False,10.1
CNV-2026-0000027,CRT-00240,2026-01-02,V1,Channel Access,Medium,Canada,Emerging,Creator_Studio,True,True,Pre_Experiment,3.54,True,High,False,Unresolved,Unresolved_Contained,False,0.0,3,False,1.17
CNV-2026-0000028,CRT-01068,2026-01-02,V1,Revenue & Payments,High,US,Growth,Help_Center,True,True,Pre_Experiment,4.52,True,Medium,False,Resolved,AI_Resolved,False,0.0,,False,1.7
CNV-2026-0000029,CRT-00903,2026-01-02,None,Creator Tools,Low,Canada,Emerging,Creator_Studio,False,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,7.64,,False,10.26
CNV-2026-0000030,CRT-00388,2026-01-02,V1,Channel Access,High,US,Large,Creator_Studio,True,True,Pre_Experiment,3.74,False,Medium,False,Resolved,Human_Resolved,True,58.11,,False,58.72
CNV-2026-0000031,CRT-00002,2026-01-02,V1,Monetization,Medium,Other,Emerging,Creator_Studio,True,True,Pre_Experiment,5.55,True,High,False,Resolved,AI_Resolved,False,0.0,,False,1.63
CNV-2026-0000032,CRT-01165,2026-01-02,None,Creator Tools,Low,India,Emerging,Mobile_App,False,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,5.83,5,False,8.48
CNV-2026-0000033,CRT-01221,2026-01-02,V1,Monetization,Low,Southeast Asia,Emerging,Creator_Studio,True,True,Pre_Experiment,4.11,True,High,False,Resolved,AI_Resolved,False,0.0,5,False,1.93
CNV-2026-0000034,CRT-00389,2026-01-02,V1,Channel Access,Medium,Other,Emerging,Help_Center,True,True,Pre_Experiment,3.13,True,High,False,Resolved,AI_Resolved,False,0.0,5,False,1.54
CNV-2026-0000035,CRT-00886,2026-01-02,None,Policy,High,Canada,Emerging,Mobile_App,False,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,22.35,,False,24.63
CNV-2026-0000036,CRT-00398,2026-01-02,V1,Revenue & Payments,Medium,US,Emerging,Help_Center,True,True,Pre_Experiment,5.64,True,High,False,Resolved,AI_Resolved,False,0.0,5,False,2.13
CNV-2026-0000037,CRT-01426,2026-01-03,V1,Monetization,Medium,Southeast Asia,Emerging,Creator_Studio,True,True,Pre_Experiment,6.2,True,High,False,Resolved,AI_Resolved,False,0.0,,False,2.01
CNV-2026-0000038,CRT-00355,2026-01-03,None,Shorts,High,Other,Growth,Mobile_App,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,15.83,,True,16.91
CNV-2026-0000039,CRT-01032,2026-01-03,None,Copyright,High,UK,Growth,Help_Center,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,63.26,4,False,66.06
CNV-2026-0000040,CRT-00331,2026-01-03,V1,Copyright,Low,India,Growth,Creator_Studio,True,True,Pre_Experiment,4.01,False,Medium,False,Resolved,Human_Resolved,True,12.59,,False,13.37
CNV-2026-0000041,CRT-01415,2026-01-03,V1,Monetization,Medium,India,Emerging,Help_Center,True,True,Pre_Experiment,7.04,True,High,False,Resolved,AI_Resolved,False,0.0,,False,2.35
CNV-2026-0000042,CRT-00376,2026-01-03,V1,Policy,High,Canada,Emerging,Creator_Studio,True,True,Pre_Experiment,3.47,True,High,False,Resolved,AI_Resolved,False,0.0,,False,2.23
CNV-2026-0000043,CRT-00745,2026-01-03,V1,Copyright,High,India,Growth,Help_Center,True,True,Pre_Experiment,3.64,False,Low,True,Resolved,Human_Resolved,True,37.6,,False,38.49
CNV-2026-0000044,CRT-00672,2026-01-03,V1,Analytics,Low,US,Growth,Mobile_App,True,True,Pre_Experiment,3.87,True,High,False,Resolved,AI_Resolved,False,0.0,,False,0.81
CNV-2026-0000045,CRT-00083,2026-01-03,None,Channel Access,Medium,India,Established,Creator_Studio,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,13.02,5,False,14.38
CNV-2026-0000046,CRT-00597,2026-01-03,V1,Monetization,Medium,US,Growth,Email_Form,True,True,Pre_Experiment,3.64,False,Medium,False,Resolved,Human_Resolved,True,21.68,,False,22.44
CNV-2026-0000047,CRT-00902,2026-01-03,V1,Policy,Medium,Canada,Emerging,Creator_Studio,True,True,Pre_Experiment,3.35,True,High,False,Abandoned,Abandoned,False,0.0,,True,2.94
CNV-2026-0000048,CRT-00523,2026-01-03,V1,Copyright,Low,US,Emerging,Mobile_App,True,True,Pre_Experiment,2.8,True,High,False,Resolved,AI_Resolved,False,0.0,,False,2.69
CNV-2026-0000049,CRT-00266,2026-01-03,None,Monetization,Medium,US,Emerging,Help_Center,False,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,17.6,,False,20.47
CNV-2026-0000050,CRT-01157,2026-01-03,None,Policy,Medium,India,Emerging,Creator_Studio,False,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,10.65,,False,13.63
CNV-2026-0000051,CRT-01442,2026-01-03,V1,Copyright,Medium,US,Emerging,Mobile_App,True,True,Pre_Experiment,2.47,True,Low,False,Resolved,AI_Resolved,False,0.0,,False,1.09
CNV-2026-0000052,CRT-01229,2026-01-03,V1,Shorts,Medium,India,Established,Mobile_App,True,True,Pre_Experiment,4.05,False,High,False,Resolved,Human_Resolved,True,35.37,,False,37.86
CNV-2026-0000053,CRT-00941,2026-01-03,V1,Policy,Low,Other,Emerging,Creator_Studio,True,True,Pre_Experiment,6.61,True,High,False,Resolved,AI_Resolved,False,0.0,,False,1.75
CNV-2026-0000054,CRT-00744,2026-01-03,None,Copyright,Medium,US,Emerging,Help_Center,False,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,5.83,,False,6.44
CNV-2026-0000055,CRT-01233,2026-01-03,V1,Other,Medium,Southeast Asia,Emerging,Creator_Studio,True,True,Pre_Experiment,5.56,True,High,False,Resolved,AI_Resolved,False,0.0,5,False,1.88
CNV-2026-0000056,CRT-00751,2026-01-04,V1,Creator Tools,Medium,Southeast Asia,Emerging,Creator_Studio,True,True,Pre_Experiment,4.59,False,Medium,False,Resolved,Human_Resolved,True,12.43,5,False,13.21
CNV-2026-0000057,CRT-00243,2026-01-04,V1,Monetization,Low,US,Emerging,Creator_Studio,True,True,Pre_Experiment,6.77,True,Medium,False,Resolved,AI_Resolved,False,0.0,5,False,3.08
CNV-2026-0000058,CRT-00207,2026-01-04,V1,Creator Tools,Medium,US,Emerging,Creator_Studio,True,True,Pre_Experiment,3.89,True,High,False,Resolved,AI_Resolved,False,0.0,,False,2.65
CNV-2026-0000059,CRT-01058,2026-01-04,None,Other,High,US,Emerging,Creator_Studio,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,19.66,5,False,22.23
CNV-2026-0000060,CRT-00041,2026-01-04,V1,Revenue & Payments,Medium,Other,Emerging,Creator_Studio,True,True,Pre_Experiment,2.47,True,High,False,Resolved,AI_Resolved,False,0.0,5,False,0.74
CNV-2026-0000061,CRT-01496,2026-01-04,None,Revenue & Payments,High,India,Growth,Email_Form,False,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,8.96,5,False,9.48
CNV-2026-0000062,CRT-01242,2026-01-04,V1,Creator Tools,Low,Other,Emerging,Creator_Studio,True,True,Pre_Experiment,3.3,True,High,False,Resolved,AI_Resolved,False,0.0,,False,1.22
CNV-2026-0000063,CRT-00113,2026-01-04,None,Copyright,Low,Canada,Emerging,Mobile_App,True,False,Non_Experiment,,False,,False,Unresolved,Unresolved_Escalated,True,1.71,2,False,4.29
CNV-2026-0000064,CRT-00048,2026-01-04,None,Monetization,High,Canada,Emerging,Creator_Studio,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,11.83,,False,13.78
CNV-2026-0000065,CRT-01168,2026-01-04,V1,Policy,Medium,US,Growth,Creator_Studio,True,True,Pre_Experiment,3.75,True,Medium,False,Resolved,AI_Resolved,False,0.0,,False,2.19
CNV-2026-0000066,CRT-00390,2026-01-04,None,Shorts,Low,India,Established,Help_Center,True,False,Non_Experiment,,False,,False,Unresolved,Unresolved_Escalated,True,14.16,,False,14.98
CNV-2026-0000067,CRT-01228,2026-01-04,V1,Channel Access,Low,US,Growth,Creator_Studio,True,True,Pre_Experiment,3.06,True,High,False,Resolved,AI_Resolved,False,0.0,5,False,1.7
CNV-2026-0000068,CRT-01308,2026-01-05,V1,Monetization,Low,Canada,Growth,Creator_Studio,True,True,Pre_Experiment,5.08,True,High,False,Resolved,AI_Resolved,False,0.0,,False,1.75
CNV-2026-0000069,CRT-00791,2026-01-05,V1,Revenue & Payments,Low,Other,Emerging,Email_Form,True,True,Pre_Experiment,5.88,True,High,False,Resolved,AI_Resolved,False,0.0,,False,3.05
CNV-2026-0000070,CRT-01477,2026-01-05,V1,Monetization,Low,UK,Emerging,Creator_Studio,True,True,Pre_Experiment,1.77,True,High,False,Resolved,AI_Resolved,False,0.0,,False,2.46
CNV-2026-0000071,CRT-00637,2026-01-05,V1,Copyright,High,India,Growth,Creator_Studio,True,True,Pre_Experiment,3.61,True,Medium,False,Resolved,AI_Resolved,False,0.0,5,False,0.9
CNV-2026-0000072,CRT-00220,2026-01-05,V1,Channel Access,Medium,Other,Emerging,Help_Center,True,True,Pre_Experiment,1.04,True,High,False,Resolved,AI_Resolved,False,0.0,,False,1.66
CNV-2026-0000073,CRT-00144,2026-01-05,V1,Copyright,High,US,Growth,Creator_Studio,True,True,Pre_Experiment,3.7,False,High,False,Resolved,Human_Resolved,True,21.78,,False,24.27
CNV-2026-0000074,CRT-00158,2026-01-05,None,Analytics,Low,Other,Growth,Help_Center,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,6.19,,False,8.65
CNV-2026-0000075,CRT-01496,2026-01-05,None,Creator Tools,Low,India,Growth,Creator_Studio,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,5.57,5,False,7.21
CNV-2026-0000076,CRT-00535,2026-01-05,V1,Channel Access,High,US,Emerging,Creator_Studio,True,True,Pre_Experiment,3.68,True,High,False,Unresolved,Unresolved_Contained,False,0.0,,True,2.62
CNV-2026-0000077,CRT-01182,2026-01-05,V1,Analytics,Low,Other,Emerging,Creator_Studio,True,True,Pre_Experiment,8.58,True,High,False,Resolved,AI_Resolved,False,0.0,,False,1.83
CNV-2026-0000078,CRT-00327,2026-01-05,None,Channel Access,Medium,Southeast Asia,Established,Creator_Studio,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,11.74,,False,12.32
CNV-2026-0000079,CRT-00146,2026-01-05,V1,Shorts,Medium,India,Emerging,Help_Center,True,True,Pre_Experiment,7.5,True,Medium,False,Abandoned,Abandoned,False,0.0,,False,2.65
CNV-2026-0000080,CRT-00188,2026-01-05,V1,Memberships,Low,Southeast Asia,Emerging,Mobile_App,True,True,Pre_Experiment,5.87,False,Low,False,Resolved,Human_Resolved,True,2.49,5,False,5.57
CNV-2026-0000081,CRT-01342,2026-01-05,None,Policy,Low,India,Established,Help_Center,True,False,Non_Experiment,,False,,False,Unresolved,Unresolved_Escalated,True,8.13,1,True,9.33
CNV-2026-0000082,CRT-00663,2026-01-05,None,Copyright,High,India,Emerging,Creator_Studio,False,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,31.79,5,False,33.95
CNV-2026-0000083,CRT-01179,2026-01-05,V1,Copyright,Medium,Canada,Emerging,Email_Form,True,True,Pre_Experiment,2.5,False,Medium,False,Unresolved,Unresolved_Escalated,True,10.87,,True,12.43
CNV-2026-0000084,CRT-00299,2026-01-05,None,Analytics,Medium,Southeast Asia,Established,Help_Center,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,19.42,,False,20.94
CNV-2026-0000085,CRT-00220,2026-01-05,None,Monetization,Low,Other,Emerging,Creator_Studio,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,14.29,,False,17.08
CNV-2026-0000086,CRT-00645,2026-01-05,V1,Shorts,Low,India,Growth,Creator_Studio,True,True,Pre_Experiment,2.44,True,High,False,Resolved,AI_Resolved,False,0.0,,False,2.94
CNV-2026-0000087,CRT-01300,2026-01-05,None,Revenue & Payments,Medium,Canada,Emerging,Creator_Studio,False,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,6.02,,False,6.79
CNV-2026-0000088,CRT-00419,2026-01-05,V1,Channel Access,High,Southeast Asia,Emerging,Creator_Studio,True,True,Pre_Experiment,2.36,True,High,False,Resolved,AI_Resolved,False,0.0,,False,2.36
CNV-2026-0000089,CRT-01176,2026-01-06,V1,Revenue & Payments,Low,Southeast Asia,Growth,Creator_Studio,True,True,Pre_Experiment,7.67,True,High,False,Resolved,AI_Resolved,False,0.0,,False,1.08
CNV-2026-0000090,CRT-00457,2026-01-06,V1,Other,High,Southeast Asia,Large,Creator_Studio,True,True,Pre_Experiment,2.56,True,High,False,Resolved,AI_Resolved,False,0.0,5,False,1.87
CNV-2026-0000091,CRT-01120,2026-01-06,None,Monetization,Medium,Other,Established,Email_Form,False,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,12.91,5,False,15.41
CNV-2026-0000092,CRT-00934,2026-01-06,V1,Revenue & Payments,Medium,India,Growth,Creator_Studio,True,True,Pre_Experiment,3.24,True,Low,False,Resolved,AI_Resolved,False,0.0,5,False,1.11
CNV-2026-0000093,CRT-00815,2026-01-06,None,Analytics,Low,India,Emerging,Creator_Studio,False,False,Non_Experiment,,False,,False,Unresolved,Unresolved_Escalated,True,8.09,,False,9.4
CNV-2026-0000094,CRT-01162,2026-01-06,V1,Copyright,High,India,Growth,Email_Form,True,True,Pre_Experiment,2.57,False,Medium,False,Resolved,Human_Resolved,True,12.79,,False,15.69
CNV-2026-0000095,CRT-00793,2026-01-06,None,Copyright,High,Southeast Asia,Emerging,Creator_Studio,False,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,44.2,,False,45.74
CNV-2026-0000096,CRT-00542,2026-01-06,None,Shorts,Low,Canada,Growth,Creator_Studio,False,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,9.38,4,False,10.07
CNV-2026-0000097,CRT-00227,2026-01-06,None,Analytics,Medium,India,Emerging,Creator_Studio,True,False,Non_Experiment,,False,,False,Unresolved,Unresolved_Escalated,True,18.64,2,True,20.18
CNV-2026-0000098,CRT-00586,2026-01-06,None,Monetization,Medium,US,Growth,Help_Center,False,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,24.45,,False,26.08
CNV-2026-0000099,CRT-00220,2026-01-06,None,Policy,High,Other,Emerging,Creator_Studio,False,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,24.23,,True,26.68
CNV-2026-0000100,CRT-00391,2026-01-06,None,Copyright,High,US,Growth,Help_Center,False,False,Non_Experiment,,False,,False,Unresolved,Unresolved_Escalated,True,24.47,2,False,25.84
CNV-2026-0000101,CRT-01350,2026-01-06,V1,Copyright,Low,India,Emerging,Mobile_App,True,True,Pre_Experiment,2.19,False,Low,False,Unresolved,Unresolved_Escalated,True,7.15,,False,8.0
CNV-2026-0000102,CRT-00879,2026-01-06,V1,Policy,Medium,US,Growth,Help_Center,True,True,Pre_Experiment,4.48,True,Low,True,Resolved,AI_Resolved,False,0.0,3,False,2.52
CNV-2026-0000103,CRT-00823,2026-01-06,None,Monetization,Medium,India,Emerging,Mobile_App,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,16.79,,False,18.23
CNV-2026-0000104,CRT-01084,2026-01-06,None,Creator Tools,Low,US,Established,Help_Center,True,False,Non_Experiment,,False,,False,Unresolved,Unresolved_Escalated,True,8.67,1,False,9.25
CNV-2026-0000105,CRT-01239,2026-01-06,V1,Copyright,High,UK,Emerging,Help_Center,True,True,Pre_Experiment,4.13,False,Medium,False,Resolved,Human_Resolved,True,18.04,,False,20.69
CNV-2026-0000106,CRT-00786,2026-01-06,V1,Analytics,Low,US,Emerging,Creator_Studio,True,True,Pre_Experiment,1.42,True,High,False,Resolved,AI_Resolved,False,0.0,,False,2.94
CNV-2026-0000107,CRT-00850,2026-01-06,None,Creator Tools,Low,US,Large,Creator_Studio,False,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,3.65,5,False,6.56
CNV-2026-0000108,CRT-00469,2026-01-06,V1,Copyright,High,India,Emerging,Creator_Studio,True,True,Pre_Experiment,2.15,True,Low,False,Resolved,AI_Resolved,False,0.0,,False,2.09
CNV-2026-0000109,CRT-00726,2026-01-06,V1,Shorts,High,US,Emerging,Creator_Studio,True,True,Pre_Experiment,4.33,True,Medium,False,Resolved,AI_Resolved,False,0.0,,False,1.23
CNV-2026-0000110,CRT-00916,2026-01-07,V1,Analytics,Low,US,Large,Creator_Studio,True,True,Pre_Experiment,3.73,True,Medium,False,Resolved,AI_Resolved,False,0.0,,False,2.73
CNV-2026-0000111,CRT-01429,2026-01-07,None,Copyright,High,India,Established,Help_Center,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,33.0,,False,33.94
CNV-2026-0000112,CRT-00069,2026-01-07,V1,Other,Low,India,Emerging,Creator_Studio,True,True,Pre_Experiment,3.22,True,High,False,Resolved,AI_Resolved,False,0.0,,False,2.43
CNV-2026-0000113,CRT-00634,2026-01-07,V1,Copyright,Medium,Other,Emerging,Help_Center,True,True,Pre_Experiment,5.07,True,High,False,Resolved,AI_Resolved,False,0.0,4,False,2.77
CNV-2026-0000114,CRT-00190,2026-01-07,V1,Copyright,Medium,India,Emerging,Creator_Studio,True,True,Pre_Experiment,2.02,True,High,False,Resolved,AI_Resolved,False,0.0,5,False,2.85
CNV-2026-0000115,CRT-00437,2026-01-07,None,Revenue & Payments,Medium,India,Emerging,Mobile_App,True,False,Non_Experiment,,False,,False,Unresolved,Unresolved_Escalated,True,17.22,2,False,19.14
CNV-2026-0000116,CRT-00959,2026-01-07,V1,Monetization,Low,US,Growth,Creator_Studio,True,True,Pre_Experiment,2.95,False,High,False,Unresolved,Unresolved_Escalated,True,11.27,2,True,14.21
CNV-2026-0000117,CRT-01166,2026-01-07,V1,Channel Access,Medium,Other,Established,Help_Center,True,True,Pre_Experiment,4.87,True,High,False,Resolved,AI_Resolved,False,0.0,,False,0.67
CNV-2026-0000118,CRT-01185,2026-01-07,V1,Creator Tools,Low,US,Emerging,Help_Center,True,True,Pre_Experiment,2.88,False,High,False,Resolved,Human_Resolved,True,10.31,5,False,10.95
CNV-2026-0000119,CRT-00422,2026-01-07,V1,Shorts,High,India,Emerging,Creator_Studio,True,True,Pre_Experiment,4.44,True,High,False,Resolved,AI_Resolved,False,0.0,,False,2.48
CNV-2026-0000120,CRT-00997,2026-01-07,None,Copyright,Medium,Southeast Asia,Growth,Mobile_App,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,7.07,,False,10.06
CNV-2026-0000121,CRT-01210,2026-01-07,None,Monetization,Medium,UK,Emerging,Mobile_App,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,7.96,5,False,8.83
CNV-2026-0000122,CRT-01273,2026-01-07,V1,Revenue & Payments,Medium,Other,Emerging,Help_Center,True,True,Pre_Experiment,2.3,False,High,False,Unresolved,Unresolved_Escalated,True,9.77,2,True,11.24
CNV-2026-0000123,CRT-01182,2026-01-07,V1,Monetization,Medium,Other,Emerging,Mobile_App,True,True,Pre_Experiment,2.66,True,High,False,Resolved,AI_Resolved,False,0.0,,False,3.01
CNV-2026-0000124,CRT-00865,2026-01-07,V1,Shorts,Low,UK,Emerging,Creator_Studio,True,True,Pre_Experiment,1.73,True,High,False,Resolved,AI_Resolved,False,0.0,,False,2.71
CNV-2026-0000125,CRT-00875,2026-01-07,V1,Channel Access,Low,India,Growth,Mobile_App,True,True,Pre_Experiment,1.53,True,High,False,Unresolved,Unresolved_Contained,False,0.0,,True,1.55
CNV-2026-0000126,CRT-00085,2026-01-07,V1,Memberships,Medium,Southeast Asia,Emerging,Mobile_App,True,True,Pre_Experiment,3.11,True,Medium,False,Resolved,AI_Resolved,False,0.0,,False,2.78
CNV-2026-0000127,CRT-00576,2026-01-07,V1,Memberships,High,Southeast Asia,Growth,Help_Center,True,True,Pre_Experiment,4.72,True,High,False,Abandoned,Abandoned,False,0.0,,False,1.71
CNV-2026-0000128,CRT-00638,2026-01-07,V1,Copyright,Medium,Canada,Growth,Mobile_App,True,True,Pre_Experiment,3.66,False,Medium,False,Resolved,Human_Resolved,True,15.25,,False,16.66
CNV-2026-0000129,CRT-00229,2026-01-07,None,Monetization,Medium,US,Growth,Help_Center,True,False,Non_Experiment,,False,,False,Unresolved,Unresolved_Escalated,True,23.63,,False,25.6
CNV-2026-0000130,CRT-00397,2026-01-08,None,Revenue & Payments,High,UK,Established,Creator_Studio,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,28.54,,False,29.74
CNV-2026-0000131,CRT-00263,2026-01-08,V1,Analytics,Medium,US,Emerging,Help_Center,True,True,Pre_Experiment,6.5,False,High,False,Resolved,Human_Resolved,True,13.56,5,False,15.81
CNV-2026-0000132,CRT-01238,2026-01-08,V1,Revenue & Payments,Low,Southeast Asia,Emerging,Creator_Studio,True,True,Pre_Experiment,3.23,True,Medium,False,Unresolved,Unresolved_Contained,False,0.0,1,True,1.28
CNV-2026-0000133,CRT-00545,2026-01-08,None,Monetization,High,Other,Emerging,Help_Center,True,False,Non_Experiment,,False,,False,Unresolved,Unresolved_Escalated,True,16.09,2,False,17.86
CNV-2026-0000134,CRT-00332,2026-01-08,V1,Channel Access,Medium,Other,Emerging,Creator_Studio,True,True,Pre_Experiment,1.49,False,High,False,Resolved,Human_Resolved,True,13.29,5,False,15.75
CNV-2026-0000135,CRT-00123,2026-01-08,V1,Copyright,Medium,Other,Emerging,Help_Center,True,True,Pre_Experiment,4.5,True,High,False,Resolved,AI_Resolved,False,0.0,5,False,2.73
CNV-2026-0000136,CRT-00278,2026-01-08,V1,Creator Tools,Medium,India,Growth,Creator_Studio,True,True,Pre_Experiment,2.37,True,Medium,False,Unresolved,Unresolved_Contained,False,0.0,1,True,0.64
CNV-2026-0000137,CRT-00230,2026-01-08,V1,Monetization,Low,India,Emerging,Creator_Studio,True,True,Pre_Experiment,4.08,True,High,False,Resolved,AI_Resolved,False,0.0,,False,2.38
