creator_id,creator_segment,region,channel_size,creator_tenure_months
CRT-00204,Emerging,UK,3687,22
CRT-00205,Emerging,India,3141,118
CRT-00206,Emerging,Other,2058,27
CRT-00207,Emerging,US,6488,66
CRT-00208,Growth,India,24474,25
CRT-00209,Emerging,Other,9999,15
CRT-00210,Growth,US,24010,1
CRT-00211,Growth,Canada,30564,2
CRT-00212,Growth,India,22050,57
CRT-00213,Emerging,Other,1804,53
CRT-00214,Established,Other,328196,5
CRT-00215,Growth,India,25413,42
CRT-00216,Growth,Canada,65405,33
CRT-00217,Emerging,India,1621,69
CRT-00218,Emerging,Southeast Asia,1663,120
CRT-00219,Established,UK,115220,83
CRT-00220,Emerging,Other,1872,111
CRT-00221,Emerging,US,1203,24
CRT-00222,Growth,US,19848,26
CRT-00223,Growth,UK,18247,91
CRT-00224,Large,Southeast Asia,12867745,38
CRT-00225,Emerging,India,1084,102
CRT-00226,Established,US,100000,56
CRT-00227,Emerging,India,766,25
CRT-00228,Growth,Other,26218,102
CRT-00229,Growth,US,35359,67
CRT-00230,Emerging,India,2087,97
CRT-00231,Emerging,Other,2301,55
CRT-00232,Emerging,US,799,16
CRT-00233,Large,Canada,2516320,82
CRT-00234,Growth,US,17360,15
CRT-00235,Established,Other,137065,80
CRT-00236,Established,Canada,114619,51
CRT-00237,Growth,Other,14850,95
CRT-00238,Established,US,376444,105
CRT-00239,Emerging,Southeast Asia,2323,49
CRT-00240,Emerging,Canada,2925,106
CRT-00241,Established,US,203533,14
CRT-00242,Established,US,316818,13
CRT-00243,Emerging,US,327,120
CRT-00244,Growth,Other,41421,69
CRT-00245,Growth,UK,29394,55
CRT-00246,Established,UK,289602,19
CRT-00247,Growth,Canada,32533,35
CRT-00248,Emerging,Southeast Asia,608,83
CRT-00249,Emerging,India,404,99
CRT-00250,Emerging,India,757,110
CRT-00251,Growth,UK,35684,49
CRT-00252,Established,US,300756,55
CRT-00253,Growth,Other,13575,20
CRT-00254,Emerging,Other,611,10
CRT-00255,Emerging,India,751,53
CRT-00256,Growth,Southeast Asia,22501,70
CRT-00257,Established,US,100000,13
CRT-00258,Emerging,Other,429,50
CRT-00259,Emerging,Other,694,77
CRT-00260,Growth,Other,28088,98
CRT-00261,Emerging,India,520,113
CRT-00262,Established,US,185445,41
CRT-00263,Emerging,US,3123,48
CRT-00264,Emerging,US,472,105
CRT-00265,Established,US,175629,84
CRT-00266,Emerging,US,3040,33
CRT-00267,Emerging,Other,958,83
CRT-00268,Emerging,US,846,19
CRT-00269,Emerging,US,3397,54
CRT-00270,Emerging,Other,1048,37
CRT-00271,Emerging,Southeast Asia,3240,120
CRT-00272,Emerging,Canada,1887,5
CRT-00273,Emerging,UK,1018,103
CRT-00274,Growth,Other,34195,34
CRT-00275,Growth,UK,31578,5
CRT-00276,Emerging,Southeast Asia,3031,80
CRT-00277,Emerging,UK,863,82
CRT-00278,Growth,India,27463,18
CRT-00279,Established,India,191585,5
CRT-00280,Established,India,303303,14
CRT-00281,Emerging,US,589,50
CRT-00282,Emerging,Canada,3021,16
CRT-00283,Emerging,US,1945,85
CRT-00284,Emerging,US,467,10
CRT-00285,Growth,US,49223,95
CRT-00286,Emerging,Other,8000,105
CRT-00287,Emerging,India,2985,87
CRT-00288,Emerging,UK,4194,114
CRT-00289,Growth,Other,28076,113
CRT-00290,Emerging,US,354,6
CRT-00291,Established,Canada,100000,42
CRT-00292,Emerging,India,1642,92
CRT-00293,Established,US,139359,41
CRT-00294,Emerging,UK,644,89
CRT-00295,Established,Other,191444,93
CRT-00296,Established,US,287607,120
CRT-00297,Large,Southeast Asia,1000000,40
CRT-00298,Established,US,151853,42
CRT-00299,Established,Southeast Asia,491846,3
CRT-00300,Growth,UK,15714,35
CRT-00301,Established,Southeast Asia,334990,34
CRT-00302,Emerging,UK,908,55
CRT-00303,Growth,US,35344,51
CRT-00304,Growth,UK,46567,103
CRT-00305,Established,UK,310136,93
CRT-00306,Growth,UK,42386,88
CRT-00307,Emerging,US,533,1
CRT-00308,Growth,India,46949,57
CRT-00309,Emerging,India,677,88
CRT-00310,Emerging,US,1648,30
CRT-00311,Growth,US,30611,51
CRT-00312,Emerging,India,1974,88
CRT-00313,Emerging,Canada,1753,96
CRT-00314,Emerging,US,681,103
CRT-00315,Emerging,Other,454,52
CRT-00316,Emerging,Southeast Asia,2691,48
CRT-00317,Emerging,Canada,1554,46
CRT-00318,Growth,India,47795,81
CRT-00319,Emerging,India,1292,51
CRT-00320,Established,Southeast Asia,100000,49
CRT-00321,Established,Other,354930,21
CRT-00322,Growth,India,22355,58
CRT-00323,Emerging,Southeast Asia,1760,29
CRT-00324,Growth,Southeast Asia,19462,63
CRT-00325,Established,Canada,533162,107
CRT-00326,Growth,US,17356,94
CRT-00327,Established,Southeast Asia,162355,58
CRT-00328,Growth,India,28388,118
CRT-00329,Growth,Other,15582,118
CRT-00330,Emerging,India,1744,54
CRT-00331,Growth,India,60231,92
CRT-00332,Emerging,Other,904,42
CRT-00333,Growth,India,32779,106
CRT-00334,Established,US,100000,45
CRT-00335,Emerging,US,1298,31
CRT-00336,Growth,US,23005,17
CRT-00337,Emerging,US,695,102
CRT-00338,Growth,India,46199,36
CRT-00339,Emerging,Canada,1031,98
CRT-00340,Established,Canada,178708,11
CRT-00341,Emerging,US,990,61
CRT-00342,Large,Southeast Asia,1000000,52
CRT-00343,Established,US,100791,53
CRT-00344,Growth,Other,43501,21
CRT-00345,Established,US,100000,9
CRT-00346,Established,UK,125518,42
CRT-00347,Established,India,156399,57
CRT-00348,Emerging,UK,5404,96
CRT-00349,Growth,India,39509,56
CRT-00350,Emerging,Canada,857,30
CRT-00351,Growth,US,51650,32
CRT-00352,Emerging,Other,740,74
CRT-00353,Growth,Southeast Asia,44558,53
CRT-00354,Growth,Canada,13637,109
CRT-00355,Growth,Other,46010,53
CRT-00356,Growth,Other,21959,69
CRT-00357,Growth,US,16086,8
CRT-00358,Established,US,174505,24
CRT-00359,Growth,US,30904,103
CRT-00360,Growth,US,21007,42
CRT-00361,Established,Southeast Asia,277166,51
CRT-00362,Emerging,Other,840,71
CRT-00363,Emerging,Other,2200,7
CRT-00364,Emerging,Southeast Asia,1907,61
CRT-00365,Growth,UK,26096,42
CRT-00366,Emerging,Other,940,18
CRT-00367,Established,Other,217711,51
CRT-00368,Growth,US,35423,54
CRT-00369,Emerging,Southeast Asia,6970,23
CRT-00370,Established,Other,349288,66
CRT-00371,Growth,India,43826,90
CRT-00372,Emerging,India,9999,33
CRT-00373,Emerging,Other,2023,116
CRT-00374,Emerging,Other,1973,74
CRT-00375,Emerging,Other,2352,93
CRT-00376,Emerging,Canada,597,9
CRT-00377,Established,US,152307,93
CRT-00378,Emerging,India,893,41
CRT-00379,Emerging,Southeast Asia,2248,86
CRT-00380,Growth,Southeast Asia,24659,97
CRT-00381,Growth,Southeast Asia,28828,31
CRT-00382,Established,UK,381731,32
CRT-00383,Established,India,333664,8
CRT-00384,Growth,Canada,24813,73
CRT-00385,Emerging,India,783,93
CRT-00386,Large,India,4389352,50
CRT-00387,Growth,US,39614,20
CRT-00388,Large,US,1000000,38
CRT-00389,Emerging,Other,1042,49
CRT-00390,Established,India,219544,110
CRT-00391,Growth,US,39712,15
CRT-00392,Emerging,Canada,2774,42
CRT-00393,Growth,Southeast Asia,31006,77
CRT-00394,Growth,US,36048,29
CRT-00395,Emerging,India,1409,107
CRT-00396,Growth,US,19207,110
CRT-00397,Established,UK,169946,46
CRT-00398,Emerging,US,1359,90
CRT-00399,Growth,US,26440,91
CRT-00400,Emerging,US,296,82
CRT-00401,Emerging,Southeast Asia,974,23
CRT-00402,Established,US,205607,6
CRT-00403,Established,Other,167909,42
CRT-00404,Emerging,US,1099,16
CRT-00405,Large,Southeast Asia,2790116,36
CRT-00406,Established,India,104049,77
CRT-00407,Emerging,India,364,71
CRT-00408,Established,US,161312,26
CRT-00409,Emerging,Other,2468,3
CRT-00410,Large,Other,6460951,28
CRT-00411,Growth,US,39777,55
CRT-00412,Growth,US,12911,94
CRT-00413,Emerging,Other,1112,44
CRT-00414,Established,Southeast Asia,231881,35
CRT-00415,Emerging,US,1543,67
CRT-00416,Emerging,US,2062,9
CRT-00417,Emerging,UK,643,28
CRT-00418,Established,Canada,206688,5
CRT-00419,Emerging,Southeast Asia,1874,64
CRT-00420,Established,Other,326244,54
CRT-00421,Growth,India,17982,70
CRT-00422,Emerging,India,1016,75
CRT-00423,Emerging,India,153,48
CRT-00424,Emerging,India,814,105
CRT-00425,Growth,US,20698,111
CRT-00426,Established,US,107823,14
CRT-00427,Emerging,India,1529,111
CRT-00428,Established,UK,192227,24
CRT-00429,Emerging,US,219,30
CRT-00430,Established,India,226229,64
CRT-00431,Established,UK,113891,4
CRT-00432,Established,Southeast Asia,266043,44
CRT-00433,Growth,Canada,14172,24
CRT-00434,Established,Other,202400,58
CRT-00435,Emerging,UK,1067,98
CRT-00436,Emerging,US,1706,111
CRT-00437,Emerging,India,1479,26
CRT-00438,Growth,Southeast Asia,23680,66
CRT-00439,Growth,US,12479,57
CRT-00440,Growth,US,12853,50
CRT-00441,Established,US,140037,76
CRT-00442,Emerging,India,1330,119
CRT-00443,Growth,India,19848,49
CRT-00444,Emerging,US,2208,8
CRT-00445,Emerging,Other,1071,110
CRT-00446,Growth,Other,16605,112
CRT-00447,Large,US,1632025,39
CRT-00448,Growth,Other,30119,61
CRT-00449,Emerging,US,1736,104
CRT-00450,Growth,Other,68815,61
CRT-00451,Emerging,Other,784,58
CRT-00452,Established,US,190215,111
CRT-00453,Growth,Canada,33291,100
CRT-00454,Emerging,Other,1314,61
CRT-00455,Emerging,Other,897,20
CRT-00456,Emerging,Other,387,53
CRT-00457,Large,Southeast Asia,1386670,82
CRT-00458,Growth,US,15727,33
CRT-00459,Established,Other,100000,65
CRT-00460,Growth,Southeast Asia,18072,80
CRT-00461,Growth,Southeast Asia,15937,11
CRT-00462,Emerging,India,2136,69
CRT-00463,Established,Southeast Asia,285117,89
CRT-00464,Emerging,US,649,26
CRT-00465,Growth,Canada,23620,66
CRT-00466,Growth,US,10624,86
CRT-00467,Growth,Canada,21011,6
CRT-00468,Established,Other,252556,78
CRT-00469,Emerging,India,2591,32
CRT-00470,Growth,Southeast Asia,18835,48
CRT-00471,Emerging,India,3107,78
CRT-00472,Growth,Other,12608,1
CRT-00473,Emerging,Canada,493,3
CRT-00474,Emerging,India,2363,54
CRT-00475,Emerging,US,5099,114
CRT-00476,Emerging,US,1987,1
CRT-00477,Emerging,India,1296,95
CRT-00478,Growth,Other,10000,9
CRT-00479,Growth,Canada,10000,59
CRT-00480,Emerging,US,1485,52
CRT-00481,Emerging,Other,1005,57
CRT-00482,Emerging,India,552,10
CRT-00483,Growth,Other,27799,91
CRT-00484,Emerging,US,1468,34
CRT-00485,Emerging,Southeast Asia,2851,93
CRT-00486,Emerging,Other,1494,79
CRT-00487,Growth,US,49721,67
CRT-00488,Emerging,UK,1348,38
CRT-00489,Growth,Other,25395,79
CRT-00490,Growth,US,45805,120
CRT-00491,Growth,US,16494,111
CRT-00492,Growth,UK,99999,110
CRT-00493,Growth,India,32455,27
CRT-00494,Emerging,US,1816,71
CRT-00495,Established,India,272408,48
CRT-00496,Growth,Canada,68773,117
CRT-00497,Emerging,US,2525,115
CRT-00498,Growth,India,12057,105
CRT-00499,Emerging,Other,4116,20
CRT-00500,Growth,Southeast Asia,22687,39
CRT-00501,Growth,Other,28383,86
CRT-00502,Established,India,100000,90
CRT-00503,Established,Other,272589,43
CRT-00504,Growth,UK,19424,17
CRT-00505,Growth,US,28284,17
CRT-00506,Established,Other,167634,83
CRT-00507,Emerging,India,6247,55
CRT-00508,Established,US,653015,59
CRT-00509,Growth,US,27536,98
CRT-00510,Emerging,UK,1409,3
CRT-00511,Emerging,US,993,91
CRT-00512,Established,US,386004,33
CRT-00513,Emerging,US,1029,112
CRT-00514,Emerging,India,956,115
CRT-00515,Emerging,India,2930,61
CRT-00516,Emerging,Southeast Asia,870,38
CRT-00517,Emerging,US,1299,28
CRT-00518,Growth,US,12201,22
CRT-00519,Emerging,Southeast Asia,2352,120
CRT-00520,Established,India,636996,23
CRT-00521,Established,UK,306427,54
CRT-00522,Emerging,US,4313,58
CRT-00523,Emerging,US,680,82
CRT-00524,Growth,US,30277,102
CRT-00525,Emerging,India,629,67
CRT-00526,Emerging,India,1116,91
CRT-00527,Large,Other,3404293,69
CRT-00528,Large,India,2129237,53
CRT-00529,Established,Southeast Asia,100000,19
CRT-00530,Emerging,Southeast Asia,467,26
CRT-00531,Growth,US,13486,52
CRT-00532,Growth,Southeast Asia,34397,6
CRT-00533,Emerging,India,6982,38
CRT-00534,Growth,India,53168,56
CRT-00535,Emerging,US,293,57
CRT-00536,Emerging,Canada,4174,98
CRT-00537,Growth,Other,42967,117
CRT-00538,Emerging,US,389,88
CRT-00539,Emerging,Southeast Asia,1050,10
CRT-00540,Established,Canada,383583,50
CRT-00541,Large,US,2914775,88
CRT-00542,Growth,Canada,13980,72
CRT-00543,Established,UK,286772,55
CRT-00544,Large,Other,1000000,53
CRT-00545,Emerging,Other,1120,49
CRT-00546,Emerging,US,3328,70
CRT-00547,Emerging,India,1359,22
CRT-00548,Emerging,Southeast Asia,898,63
CRT-00549,Growth,US,41968,25
CRT-00550,Emerging,India,2921,82
CRT-00551,Growth,Other,51793,104
CRT-00552,Emerging,US,2695,61
CRT-00553,Emerging,India,3181,47
CRT-00554,Established,Other,308582,113
CRT-00555,Emerging,India,1656,80
CRT-00556,Emerging,India,1438,52
CRT-00557,Emerging,Other,1107,4
CRT-00558,Growth,India,14673,2
CRT-00559,Growth,US,16686,27
CRT-00560,Growth,US,23364,29
CRT-00561,Emerging,Other,1624,87
CRT-00562,Emerging,US,4241,61
CRT-00563,Established,Southeast Asia,193865,120
CRT-00564,Growth,US,44433,65
CRT-00565,Growth,India,46150,109
CRT-00566,Growth,Other,23963,67
CRT-00567,Growth,Southeast Asia,36219,43
CRT-00568,Emerging,Other,1102,86
CRT-00569,Emerging,US,3857,54
CRT-00570,Growth,Southeast Asia,36972,33
CRT-00571,Emerging,Other,516,57
CRT-00572,Established,India,219019,80
CRT-00573,Growth,US,61331,46
CRT-00574,Growth,Other,24572,85
CRT-00575,Established,India,260049,118
CRT-00576,Growth,Southeast Asia,35345,50
CRT-00577,Established,Other,106726,36
CRT-00578,Growth,US,34729,49
CRT-00579,Established,India,100000,101
CRT-00580,Emerging,US,812,22
CRT-00581,Growth,India,46067,117
CRT-00582,Growth,US,32156,50
CRT-00583,Emerging,UK,1049,101
CRT-00584,Emerging,US,1914,95
CRT-00585,Established,UK,191749,95
CRT-00586,Growth,US,27072,110
CRT-00587,Emerging,India,2265,23
CRT-00588,Emerging,India,748,72
CRT-00589,Emerging,UK,1383,12
CRT-00590,Emerging,India,1043,36
CRT-00591,Established,India,100000,5
CRT-00592,Emerging,Other,641,82
CRT-00593,Emerging,Southeast Asia,4696,73
CRT-00594,Growth,US,32609,89
CRT-00595,Emerging,Other,464,22
CRT-00596,Emerging,India,390,40
CRT-00597,Growth,US,25435,82
CRT-00598,Growth,India,58723,100
CRT-00599,Large,US,1739780,107
CRT-00600,Growth,US,51714,9
CRT-00601,Growth,Canada,32079,49
CRT-00602,Growth,US,34051,2
CRT-00603,Established,Other,100000,99
CRT-00604,Growth,Other,42991,15
CRT-00605,Large,Southeast Asia,1568370,99
CRT-00606,Established,UK,333652,19
CRT-00607,Established,UK,121966,2
CRT-00608,Emerging,Other,1543,106
CRT-00609,Growth,India,32080,53
CRT-00610,Emerging,US,1184,51
CRT-00611,Growth,Southeast Asia,32934,78
CRT-00612,Growth,Southeast Asia,23548,33
CRT-00613,Large,US,1258785,83
CRT-00614,Large,Southeast Asia,6100238,52
CRT-00615,Emerging,US,3100,33
CRT-00616,Growth,Other,18390,48
CRT-00617,Growth,US,35747,1
CRT-00618,Emerging,US,739,37
CRT-00619,Emerging,US,519,71
CRT-00620,Emerging,US,3062,17
CRT-00621,Established,US,100000,15
CRT-00622,Growth,US,42762,79
CRT-00623,Large,US,1661272,52
CRT-00624,Growth,US,24202,17
CRT-00625,Large,India,2641416,90
CRT-00626,Emerging,India,2132,94
CRT-00627,Established,India,121078,5
CRT-00628,Emerging,India,2378,25
CRT-00629,Growth,US,28472,45
CRT-00630,Established,US,100000,88
CRT-00631,Established,US,179525,9
CRT-00632,Established,Canada,455325,97
CRT-00633,Emerging,Other,5121,39
CRT-00634,Emerging,Other,2377,16
CRT-00635,Emerging,Southeast Asia,516,104
CRT-00636,Emerging,Southeast Asia,1983,11
CRT-00637,Growth,India,41168,16
CRT-00638,Growth,Canada,38671,114
CRT-00639,Established,Canada,318370,63
CRT-00640,Established,Other,247201,56
CRT-00641,Growth,Other,25946,83
CRT-00642,Established,India,137995,76
CRT-00643,Emerging,Canada,293,74
CRT-00644,Emerging,Other,1757,3
CRT-00645,Growth,India,29525,67
CRT-00646,Established,Other,277769,34
CRT-00647,Emerging,US,459,97
CRT-00648,Growth,Other,37142,61
CRT-00649,Growth,Canada,75152,15
CRT-00650,Emerging,US,1426,107
CRT-00651,Emerging,UK,1274,35
CRT-00652,Established,US,239282,33
CRT-00653,Growth,Canada,74322,113
CRT-00654,Emerging,Canada,590,94
CRT-00655,Established,Southeast Asia,224565,104
CRT-00656,Emerging,Other,706,80
CRT-00657,Established,US,143171,110
CRT-00658,Emerging,US,1287,14
CRT-00659,Growth,India,52768,72
CRT-00660,Emerging,US,5657,36
CRT-00661,Emerging,India,1916,48
CRT-00662,Established,US,158584,29
CRT-00663,Emerging,India,9839,25
CRT-00664,Emerging,India,951,54
CRT-00665,Emerging,Other,848,111
CRT-00666,Growth,US,11075,77
CRT-00667,Established,Other,459390,42
CRT-00668,Large,India,3905013,53
CRT-00669,Emerging,India,9267,64
CRT-00670,Emerging,Southeast Asia,440,30
CRT-00671,Emerging,India,4300,63
CRT-00672,Growth,US,27863,84
CRT-00673,Large,Southeast Asia,3486016,30
CRT-00674,Growth,US,11803,71
CRT-00675,Growth,India,56052,86
CRT-00676,Emerging,Southeast Asia,2512,63
CRT-00677,Established,India,194201,36
CRT-00678,Growth,Other,37143,67
CRT-00679,Emerging,US,726,96
CRT-00680,Emerging,Other,842,27
CRT-00681,Emerging,Canada,924,69
CRT-00682,Emerging,Other,304,82
CRT-00683,Emerging,Other,2668,39
CRT-00684,Growth,US,48815,47
CRT-00685,Growth,Southeast Asia,18945,107
CRT-00686,Emerging,US,1769,44
CRT-00687,Emerging,Other,1083,72
CRT-00688,Large,Southeast Asia,2494981,18
CRT-00689,Growth,US,19657,112
CRT-00690,Growth,Other,17296,72
CRT-00691,Emerging,US,3107,92
CRT-00692,Established,Southeast Asia,191315,73
CRT-00693,Emerging,Canada,6752,43
CRT-00694,Emerging,US,1389,41
CRT-00695,Established,Southeast Asia,114045,85
CRT-00696,Growth,Other,49685,104
CRT-00697,Growth,US,36879,16
CRT-00698,Growth,Southeast Asia,38693,102
CRT-00699,Growth,US,48790,100
CRT-00700,Emerging,UK,794,14
CRT-00701,Emerging,US,1209,13
CRT-00702,Emerging,Other,1167,84
CRT-00703,Emerging,Other,476,102
CRT-00704,Established,US,169709,48
CRT-00705,Emerging,India,3901,77
CRT-00706,Growth,Southeast Asia,30292,120
CRT-00707,Established,UK,100000,39
CRT-00708,Established,India,100000,28
CRT-00709,Emerging,US,5073,119
CRT-00710,Growth,US,25715,34
CRT-00711,Large,Other,1260240,57
CRT-00712,Growth,India,23458,54
CRT-00713,Established,Other,100000,63
CRT-00714,Established,India,466893,33
CRT-00715,Established,Other,157026,82
CRT-00716,Emerging,US,3999,84
CRT-00717,Growth,US,27607,25
CRT-00718,Emerging,Other,4203,58
CRT-00719,Growth,Other,30587,7
CRT-00720,Large,India,3602947,27
CRT-00721,Growth,India,38543,119
CRT-00722,Emerging,India,2205,61
CRT-00723,Emerging,India,1769,75
CRT-00724,Large,US,1684542,107
CRT-00725,Emerging,Other,6200,86
